week,winner_team,winner_score,winner_rank,loser_team,loser_score,loser_rank,winner_conference,loser_conference,winner_lat,winner_long,loser_lat,loser_long
3,Wake Forest,24,,North Carolina,18,,Atlantic Coast,Atlantic Coast,36.1340985,-80.2778951,35.75957310000001,-79.01929969999998
3,Kansas,48,,Boston College,24,,Big 12,Atlantic Coast,39.011902,-98.4842465,42.3355488,-71.16849450000002
3,Washington State,31,20.0,Houston,24,,Pac-12,American Athletic Conference,47.751074100000004,-120.7401385,29.7604267,-95.36980279999999
3,West Virginia,44,,North Carolina State,27,,Big 12,Atlantic Coast,38.59762620000001,-80.4549026,35.7846633,-78.6820946
3,Kansas State,31,,Mississippi State,24,,Big 12,Southeastern,39.1974437,-96.58472490000001,33.455174199999995,-88.79437659999998
3,Eastern Michigan,34,,Illinois,31,,Mid-American,Big Ten,42.2506803,-83.624089,40.6331249,-89.3985283
3,Penn State,17,13.0,Pittsburgh,10,,Big Ten,Atlantic Coast,40.7982133,-77.85990840000002,40.4443533,-79.960835
3,Virginia Tech,24,,Furman,17,,Atlantic Coast,,37.22838429999999,-80.42341669999998,,
3,Tennessee,45,,Chattanooga,0,,Southeastern,,35.517491299999996,-86.5804473,,
3,Ohio State,51,6.0,Indiana,10,,Big Ten,Big Ten,40.006836299999996,-83.03062220000002,40.2671941,-86.1349019
3,Temple,20,,Maryland,17,21.0,American Athletic Conference,Big Ten,37.0421218,-95.6273972,39.0457549,-76.64127119999998
3,Cincinnati,35,,Miami (OH),13,,American Athletic Conference,Mid-American,39.103118200000004,-84.5120196,39.5105334,-84.73087679999998
3,Georgia,55,3.0,Arkansas State,0,,Southeastern,Sun Belt,32.1656221,-82.9000751,35.20105,-91.83183340000001
3,The Citadel,27,,Georgia Tech,24,,,Atlantic Coast,,,33.7756178,-84.39628499999998
3,Air Force,30,,Colorado,23,,Mountain West,Pac-12,37.0955676,-94.4778033,39.55005070000001,-105.78206740000002
3,Florida Atlantic,41,,Ball State,31,,Conference USA,Mid-American,26.374987599999997,-80.10106329999998,40.2041356,-85.4058996
3,Coastal Carolina,46,,Norfolk State,7,,Sun Belt,,33.7965964,-79.01336119999998,,
3,Notre Dame,66,7.0,New Mexico,14,,Independents(FBS),Mountain West,41.7055716,-86.2353388,34.5199402,-105.87009009999998
3,Central Michigan,45,,Akron,24,,Mid-American,Mid-American,43.5819086,-84.77563640000002,41.08144470000001,-81.51900529999998
3,Navy,42,,East Carolina,10,,American Athletic Conference,American Athletic Conference,37.22462279999999,-95.70705240000001,35.6055108,-77.3645653
3,Brigham Young,30,,USC,27,24.0,Independents(FBS),Pac-12,40.2518435,-111.6493156,34.0223519,-118.285117
3,Alabama,47,2.0,South Carolina,23,,Southeastern,Southeastern,32.3182314,-86.902298,33.836081,-81.1637245
3,Memphis,42,,South Alabama,6,,American Athletic Conference,Sun Belt,35.1495343,-90.0489801,30.6959406,-88.184236
3,Oklahoma State,40,,Tulsa,21,,Big 12,American Athletic Conference,36.1270236,-97.0737222,36.1539816,-95.992775
3,Minnesota,35,,Georgia Southern,32,,Big Ten,Sun Belt,46.729553,-94.6858998,32.42054890000001,-81.78653469999998
3,Northwestern,30,,UNLV,14,,Big Ten,Mountain West,42.0564594,-87.67526699999998,36.1085197,-115.1431709
3,Army,31,,UTSA,13,,Independents(FBS),Conference USA,37.1033072,-95.5678528,29.5829744,-98.6197293
3,UCF,45,17.0,Stanford,27,,American Athletic Conference,Pac-12,28.602427399999996,-81.2000599,37.4274745,-122.169719
3,Miami (FL),63,,Bethune-Cookman,0,,Atlantic Coast,,25.7616798,-80.1917902,,
3,Louisville,38,,Western Kentucky,21,,Atlantic Coast,Conference USA,38.252664700000004,-85.7584557,36.9853543,-86.456138
3,Ole Miss,40,,Southeastern La.,29,,Southeastern,,34.364732399999994,-89.538443,,
3,Iowa,18,19.0,Iowa State,17,,Big Ten,Big 12,41.8780025,-93.097702,42.0266187,-93.64646540000001
3,Arkansas,55,,Colorado State,34,,Southeastern,Mountain West,35.20105,-91.83183340000001,39.55005070000001,-105.78206740000002
3,Arizona State,10,,Michigan State,7,18.0,Pac-12,Big Ten,34.048928100000005,-111.0937311,42.701848,-84.4821719
3,California,23,,North Texas,17,,Pac-12,Conference USA,36.778261,-119.4179324,33.207488,-97.1525862
3,Oregon State,45,,Cal Poly,7,,Pac-12,,44.5637806,-123.2794443,,
3,Utah,31,11.0,Idaho State,0,,Pac-12,,39.32098010000001,-111.0937311,,
3,Wyoming,21,,Idaho,16,,Mountain West,,43.075967799999994,-107.29028390000002,,
3,Louisiana Tech,35,,Bowling Green,7,,Conference USA,Mid-American,32.5282644,-92.6499298,41.3797788,-83.6300826
3,Southern Miss,47,,Troy,42,,Conference USA,Sun Belt,31.330011499999998,-89.3340423,42.6064095,-83.1497751
3,Charlotte,52,,Massachusetts,17,,Conference USA,Independents(FBS),35.2270869,-80.8431267,42.4072107,-71.3824374
3,South Florida,55,,S. Carolina State,16,,American Athletic Conference,,27.664827399999997,-81.5157535,,
3,Liberty,35,,Buffalo,17,,Independents(FBS),Mid-American,37.1556278,-95.5947005,42.88644679999999,-78.8783689
3,Marshall,33,,Ohio,31,,Conference USA,Mid-American,36.056901,-96.005218,40.4172871,-82.90712300000001
3,Auburn,55,8.0,Kent State,16,,Southeastern,Mid-American,32.6098566,-85.48078249999998,41.145559399999996,-81.33928829999998
3,Toledo,45,,Murray State,0,,Mid-American,,41.6528052,-83.53786740000002,,
3,Western Michigan,57,,Georgia State,10,,Mid-American,Sun Belt,42.2837336,-85.6102507,33.753068,-84.38528190000002
3,Florida,29,9.0,Kentucky,21,,Southeastern,Southeastern,27.664827399999997,-81.5157535,37.83933320000001,-84.2700179
3,Texas A&M,62,16.0,Lamar University,3,,Southeastern,,30.6090918,-96.33371240000001,,
3,SMU,47,,Texas State,17,,American Athletic Conference,Sun Belt,32.8412178,-96.7845175,29.888410999999998,-97.938351
3,Florida International,30,,New Hampshire,17,,Conference USA,,25.756127499999998,-80.3768786,,
3,Duke,41,,Middle Tennessee,18,,Atlantic Coast,Conference USA,36.0014258,-78.9382286,35.8486105,-86.3648813
3,Nevada,19,,Weber State,13,,Mountain West,,38.8026097,-116.419389,,
3,LSU,65,4.0,N'western State,14,,Southeastern,,30.413257899999998,-91.1800023,,
3,Louisiana-Lafayette,77,,Texas Southern,6,,Sun Belt,,30.211440399999997,-92.02041209999999,,
3,Missouri,50,,Southeast Mo. State,0,,Southeastern,,37.9642529,-91.83183340000001,,
3,Clemson,41,1.0,Syracuse,6,,Atlantic Coast,Atlantic Coast,34.673843700000006,-82.83686540000002,43.0481221,-76.14742439999998
3,TCU,34,,Purdue,13,,Big 12,Big Ten,32.7095936,-97.36356020000001,40.4237054,-86.92119459999998
3,Washington,52,23.0,Hawaii,20,,Pac-12,Mountain West,47.751074100000004,-120.7401385,19.8967662,-155.58278180000005
3,Virginia,31,25.0,Florida State,24,,Atlantic Coast,Atlantic Coast,37.4315734,-78.65689420000002,30.4418778,-84.29848890000002
3,Texas,48,12.0,Rice,13,,Big 12,Conference USA,31.968598800000002,-99.9018131,29.7173941,-95.4018312
3,Oklahoma,48,5.0,UCLA,14,,Big 12,Pac-12,35.007751899999995,-97.092877,34.068921,-118.4451811
3,Nebraska,44,,Northern Illinois,8,,Big Ten,Mid-American,41.4925374,-99.9018131,41.934233,-88.774069
3,San Diego State,31,,New Mexico State,10,,Mountain West,Independents(FBS),32.77572170000001,-117.0718893,32.2787745,-106.7479059
3,Tulane,58,,Missouri State,6,,American Athletic Conference,,29.940728200000002,-90.1203167,,
3,Boise State,45,22.0,Portland State,10,,Mountain West,,43.60269520000001,-116.2014604,,
3,Arizona,28,,Texas Tech,14,,Pac-12,Big 12,34.048928100000005,-111.0937311,33.584259100000004,-101.8782822
3,Oregon,35,15.0,Montana,3,,Pac-12,,43.8041334,-120.55420120000001,,
4,Tulane,38,,Houston,31,,American Athletic Conference,American Athletic Conference,29.940728200000002,-90.1203167,29.7604267,-95.36980279999999
4,Louisiana Tech,43,,Florida International,31,,Conference USA,Conference USA,32.5282644,-92.6499298,25.756127499999998,-80.3768786
4,USC,30,,Utah,23,10.0,Pac-12,Pac-12,34.0223519,-118.285117,39.32098010000001,-111.0937311
4,Boise State,30,20.0,Air Force,19,,Mountain West,Mountain West,43.60269520000001,-116.2014604,37.0955676,-94.4778033
4,Army,52,,Morgan State,21,,Independents(FBS),,37.1033072,-95.5678528,,
4,Florida,34,9.0,Tennessee,3,,Southeastern,Southeastern,27.664827399999997,-81.5157535,35.517491299999996,-86.5804473
4,Iowa State,72,,Louisiana-Monroe,20,,Big 12,Sun Belt,42.0266187,-93.64646540000001,32.528282,-92.073415
4,Alabama,49,2.0,Southern Miss,7,,Southeastern,Conference USA,32.3182314,-86.902298,31.330011499999998,-89.3340423
4,Wake Forest,49,,Elon,7,,Atlantic Coast,,36.1340985,-80.2778951,,
4,Boston College,30,,Rutgers,16,,Atlantic Coast,Big Ten,42.3355488,-71.16849450000002,40.500818599999995,-74.44739910000001
4,LSU,66,4.0,Vanderbilt,38,,Southeastern,Southeastern,30.413257899999998,-91.1800023,36.1447034,-86.8026551
4,Wisconsin,35,13.0,Michigan,14,11.0,Big Ten,Big Ten,43.78443970000001,-88.7878678,44.3148443,-85.60236429999998
4,California,28,23.0,Ole Miss,20,,Pac-12,Southeastern,36.778261,-119.4179324,34.364732399999994,-89.538443
4,Indiana,38,,Connecticut,3,,Big Ten,American Athletic Conference,40.2671941,-86.1349019,41.60322070000001,-73.087749
4,Syracuse,52,,Western Michigan,33,,Atlantic Coast,Mid-American,43.0481221,-76.14742439999998,42.2837336,-85.6102507
4,Michigan State,31,,Northwestern,10,,Big Ten,Big Ten,42.701848,-84.4821719,42.0564594,-87.67526699999998
4,Coastal Carolina,62,,Massachusetts,28,,Sun Belt,Independents(FBS),33.7965964,-79.01336119999998,42.4072107,-71.3824374
4,Louisiana-Lafayette,45,,Ohio,25,,Sun Belt,Mid-American,30.211440399999997,-92.02041209999999,40.4172871,-82.90712300000001
