week,winner_team,winner_score,winner_rank,loser_team,loser_score,loser_rank
11,UTSA,24,,Old Dominion,23,
11,Charlotte,28,,UTEP,21,
11,Texas State,30,,South Alabama,28,
11,Colorado,16,,Stanford,13,
11,Miami (Fla.),52,,Louisville,27,
11,Cincinnati,48,20,UConn,3,
11,Virginia Tech,36,,Wake Forest,17,19
11,Troy,49,,Ga. Southern,28,
11,Southern Miss,37,,UAB,2,
11,Texas,27,,Kansas St.,24,16
11,Illinois,37,,Mich. St. ,34,
11,LSU,46,2,Alabama,41,3
11,USC,31,,Arizona St.,26,
11,Louisiana Tech,52,,North Texas,17,
11,Ole Miss,41,,New Mexico St.,3,
11,Wisconsin,24,13,Iowa,22,18
11,La.-Monroe,45,,Georgia State,31,
11,Florida Atlantic,37,,FIU,7,
11,Utah State,37,,Fresno State,35,
11,California,33,,Washington St.,20,
11,Georgia,27,6,Missouri,0,
11,Appalachian St.,20,,South Carolina,15,
11,Clemson,55,5,NC State,10,
11,Notre Dame,38,15,Duke,7,
11,Tennessee,17,,Kentucky,13,
11,BYU,31,,Liberty,24,
11,Oklahoma,42,9,Iowa State,41,
11,Boise State,20,22,Wyoming,17,
11,Nevada,17,,San Diego State,13,
11,Hawaii,42,,San Jose State,40,
12,Eastern Mich.,42,,Akron,14,
12,Western Mich.,37,,Ohio,34,
12,Miami (Ohio),44,,Bowling Green,3,
12,Northern Ill.,31,,Toledo,28,
12,Kent State,30,,Buffalo,27,
12,Pittsburgh,34,,North Carolina,27,
12,Marshall,31,,Louisiana Tech,10,
12,San Diego State,17,,Fresno State,7,
12,Alabama,38,5,Mississippi St.,7,
12,Oklahoma State,31,22,Kansas,13,
12,Temple,29,,Tulane,21,
12,Michigan,44,15,Mich. St. ,10,
12,TCU,33,,Texas Tech,31,
12,Florida State,49,,Alabama State,12,
12,Penn St.,34,9,Indiana,27,
12,Northwestern,45,,Massachusetts,6,
12,Army West Point,47,,VMI,6,
12,Wisconsin,37,14,Nebraska,21,
12,Florida,23,11,Missouri,6,
12,UAB,37,,UTEP,10,
12,Notre Dame,52,16,Navy,20,23
12,Arkansas State,28,,Coastal Carolina,27,
12,Troy,63,,Texas State,27,
12,Ga. Southern,51,,La.-Monroe,29,
12,BYU,42,,Idaho State,10,
12,Central Mich.,45,,Ball State,44,
12,Virginia Tech,45,,Georgia Tech,0,
12,Georgia,21,4,Auburn,14,12
12,Kentucky,38,,Vanderbilt,14,
12,Clemson,52,3,Wake Forest,3,
12,Iowa State,23,,Texas,21,19
12,Memphis,45,18,Houston,27,
12,Ohio St. ,56,2,Rutgers,21,
